"2014-07-02 00:03:12",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000049,"2000|18"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000055,"2000|14"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000062,"2000|16"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000068,"2000|21"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000074,"2000|13"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000103,"2100|1"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000109,"2100|2"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000114,"2100|3"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000120,"2100|4"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000126,"2100|6"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000131,"2100|7"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000137,"2100|10"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000143,"2100|11"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000148,"2100|16"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000154,"2100|18"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000160,"2100|17"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000166,"2100|21|c|3"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000168,"2100|24"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000174,"2100|25"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000180,"2100|26"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000186,"2100|29"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000192,"2100|32"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000198,"2100|33"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000204,"2100|38"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000209,"2100|57"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000215,"2100|39"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000221,"2100|43"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000227,"2100|44"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000233,"2100|49"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000239,"2100|60"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000245,"2100|52"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000250,"2100|53"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000255,"2100|55"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000261,"2100|54"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000267,"2100|56"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000273,"2100|59"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000279,"2100|61|c|1"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000281,"2100|67|m|1"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000283,"2100|63"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000288,"2100|62"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000294,"2100|64"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000300,"2100|66"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000306,"2100|65"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000312,"2100|69"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000318,"2100|70"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000333,"2200|1"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000338,"2200|4"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000343,"2200|5"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000349,"2200|8"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000355,"2200|43"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000360,"2200|44"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000365,"2200|11"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000371,"2200|12"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000377,"2200|13"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000383,"2200|14|l|2"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000385,"2200|16"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000391,"2200|48"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000396,"2200|17"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000402,"2200|20"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000408,"2200|39|l|2"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000410,"2200|25"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000415,"2200|27"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000421,"2200|28|l|2"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000423,"2200|30"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000429,"2200|29"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000435,"2200|31"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000440,"2200|32"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000446,"2200|33"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000452,"2200|34"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000458,"2200|35"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000464,"2200|47"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000469,"2200|41"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000474,"2200|40"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000489,"2300|1"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000495,"2300|2"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000501,"2300|3"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000506,"2300|4"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000512,"2300|39"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000518,"2300|41"
"2014-07-02 00:03:27","AIR:401000000","building-cog",401000523,"2300|37|s|1"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000525,"2300|9"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000531,"2300|14"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000536,"2300|36"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000541,"2300|5"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000546,"2300|34"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000552,"2300|29"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000558,"2300|30"
"2014-07-02 00:03:27","AIR:401000000","building-toon",401000564,"2300|18"
"2014-07-02 00:03:28","AIR:401000000","building-toon",401000570,"2300|31"
"2014-07-02 00:03:28","AIR:401000000","building-toon",401000576,"2300|21"
"2014-07-02 00:03:28","AIR:401000000","building-cog",401000581,"2300|22|m|2"
"2014-07-02 00:03:28","AIR:401000000","building-toon",401000583,"2300|33"
"2014-07-02 00:03:28","AIR:401000000","building-cog",401000588,"2300|24|c|1"
"2014-07-02 00:03:28","AIR:401000000","building-toon",401000590,"2300|23"
"2014-07-02 00:03:32","AIR:401000000","building-toon",401000644,"1000|8"
"2014-07-02 00:03:32","AIR:401000000","building-toon",401000670,"1100|26"
"2014-07-02 00:03:32","AIR:401000000","building-toon",401000676,"1100|2"
"2014-07-02 00:03:32","AIR:401000000","building-toon",401000682,"1100|4"
"2014-07-02 00:03:32","AIR:401000000","building-toon",401000688,"1100|6"
"2014-07-02 00:03:33","AIR:401000000","building-toon",401000694,"1100|8"
"2014-07-02 00:03:33","AIR:401000000","building-cog",401000700,"1100|20|c|1"
"2014-07-02 00:03:33","AIR:401000000","building-toon",401000702,"1100|9"
"2014-07-02 00:03:33","AIR:401000000","building-toon",401000708,"1100|27"
