"2014-06-29 07:55:51",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-06-29 07:56:04","AIR:401000000","building-toon",401000049,"2000|18"
"2014-06-29 07:56:04","AIR:401000000","building-toon",401000055,"2000|14"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000062,"2000|16"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000068,"2000|21"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000074,"2000|13"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000103,"2100|1"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000109,"2100|2"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000114,"2100|3"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000120,"2100|4"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000126,"2100|6"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000131,"2100|7"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000137,"2100|10"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000143,"2100|11"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000148,"2100|16"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000154,"2100|18"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000160,"2100|17"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000166,"2100|21|c|3"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000168,"2100|24"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000174,"2100|25"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000180,"2100|26"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000186,"2100|29"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000192,"2100|32"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000198,"2100|33"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000204,"2100|38"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000209,"2100|57"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000215,"2100|39"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000221,"2100|43"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000227,"2100|44"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000233,"2100|49"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000239,"2100|60"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000245,"2100|52"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000250,"2100|53"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000255,"2100|55"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000261,"2100|54"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000267,"2100|56"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000273,"2100|59"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000279,"2100|61"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000285,"2100|67|m|1"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000287,"2100|63"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000292,"2100|62"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000298,"2100|64"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000304,"2100|66"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000310,"2100|65"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000316,"2100|69"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000322,"2100|70"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000337,"2200|1"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000342,"2200|4"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000347,"2200|5"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000353,"2200|8"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000359,"2200|43"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000364,"2200|44"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000369,"2200|11"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000375,"2200|12"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000381,"2200|13"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000387,"2200|14|l|2"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000389,"2200|16"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000395,"2200|48"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000400,"2200|17"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000406,"2200|20"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000412,"2200|39|l|2"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000414,"2200|25"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000419,"2200|27"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000425,"2200|28"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000431,"2200|30"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000437,"2200|29"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000443,"2200|31"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000448,"2200|32"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000454,"2200|33"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000460,"2200|34"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000466,"2200|35"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000472,"2200|47"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000477,"2200|41"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000482,"2200|40"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000497,"2300|1"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000503,"2300|2"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000509,"2300|3"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000514,"2300|4"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000520,"2300|39"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000526,"2300|41"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000531,"2300|37|s|1"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000533,"2300|9"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000539,"2300|14"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000544,"2300|36"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000549,"2300|5"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000554,"2300|34"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000560,"2300|29"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000566,"2300|30"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000572,"2300|18"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000578,"2300|31"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000584,"2300|21"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000589,"2300|22|m|2"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000591,"2300|33"
"2014-06-29 07:56:05","AIR:401000000","building-cog",401000596,"2300|24|c|1"
"2014-06-29 07:56:05","AIR:401000000","building-toon",401000598,"2300|23"
"2014-06-29 07:56:10","AIR:401000000","building-toon",401000651,"1000|8"
"2014-06-29 07:56:10","AIR:401000000","building-toon",401000677,"1100|26"
"2014-06-29 07:56:10","AIR:401000000","building-toon",401000683,"1100|2"
